no	eng	trans	rus	category1	category2
110	Dragon fruit 	[dræɡən fruːt]	драконний фрукт, питахайя	Фрукты	еда
111	Pomegranate 	[pɑːmɪɡrænɪt]	гранат	Фрукты	еда
112	Persimmon 	[pərˈsɪmən]	хурма	Фрукты	еда
113	Tangerine 	[tændʒəriːn]	мандарин	Фрукты	еда
114	Berries	Ягоды	Ягоды	Ягоды	еда
115	Black currant 	[blæk kɜːrənt]	смородина	Ягоды	еда
116	Blackberry 	[blækberi]	эжевика	Ягоды	еда
117	Blueberry 	[bluːberi]	брусника, голубика	Ягоды	еда
118	Cherry 	[tʃeri]	вишня, черешня	Ягоды	еда
119	Grapes 	[ɡreɪps]	виноград	Ягоды	еда
120	Raspberry 	[ræzberi]	малина	Ягоды	еда
121	Strawberry 	[strɔːberi]	клубника	Ягоды	еда
122	Watermelon 	[wɔːtərmelən]	арбуз	Ягоды	еда
123	Cranberry 	[krænberi]	клюква	Ягоды	еда
124	Gooseberry 	[ɡuːsberi]	крыжовник	Ягоды	еда
125	Vegetables		Овощи	Овощи	еда
126	Potato 	[pəˈteɪtoʊ]	картофель	Овощи	еда
127	Tomato 	[təˈmeɪtoʊ]	помидор	Овощи	еда
128	Carrot 	[kærət]	морковь	Овощи	еда
129	Cabbage 	[kæbɪdʒ]	капуста	Овощи	еда
130	Pepper 	[pepər]	перец	Овощи	еда
131	Hot / Chili pepper 	[hɑːt / tʃɪli pepər]	острый перец	Овощи	еда
132	Eggplant 	[eɡplænt]	баклажан	Овощи	еда
133	Cauliflower 	[kɔːliflaʊər]	цветная капуста	Овощи	еда
134	Onion 	[ʌnjən]	лук	Овощи	еда
135	Garlic 	[ɡɑːrlɪk]	чеснок	Овощи	еда
136	Parsley 	[pɑːrsli]	петрушка	Овощи	еда
137	Celery 	[seləri]	сельдерей	Овощи	еда
138	Radish 	[ˈrædɪʃ]	редиска	Овощи	еда
139	Cucumber 	[kjuːkʌmbər]	огурец	Овощи	еда
140	Lettuce 	[letɪs]	салат-латук	Овощи	еда
141	Pumpkin 	[pʌmpkɪn]	тыква	Овощи	еда
142	Courgette 	[kʊrˈʒet]	кабачок	Овощи	еда
143	Pea 	[piː]	горох	Овощи	еда
144	Chick pea 	[tʃɪk piː]	нут обыкновенный	Овощи	еда
145	Green beans 	[ɡriːn biːnz]	зеленая фасоль	Овощи	еда
146	Asparagus 	[əˈspærəɡəs]	cпаржа	Овощи	еда
147	Green onion 	[ɡriːn ʌnjən]	зеленый лук, лук-перо	Овощи	еда
148	Broccoli 	[brɑːkəli]	капуста броколи	Овощи	еда
149	Spinach 	[spɪnɪtʃ]	шпинат	Овощи	еда
150	Corn 	[kɔːrn]	кукуруза	Овощи	еда
151	Yam 	[jæm]	батат, сладкий картофель	Овощи	еда
152	Beets 	[biːts]	свекла	Овощи	еда
153	Turnip 	[tɜːrnɪp]	репа	Овощи	еда
154	Ginger 	[dʒɪndʒər]	имбирь	Овощи	еда
155	Well done		хорошо приготовленная	Характеристики еды	еда
156	Raw		сырая	Характеристики еды	еда
157	Tasteless		безвкусная	Характеристики еды	еда
158	Bland		безвкусная	Характеристики еды	еда
159	Salty		соленая (пересоленная)	Характеристики еды	еда
160	Bitter		горькая	Характеристики еды	еда
161	Sour		кислая	Характеристики еды	еда
162	Rancid		протухшая, прогорклая	Характеристики еды	еда
163	Spicy		острая (много специй)	Характеристики еды	еда
164	Tough		жесткая	Характеристики еды	еда
165	Tender		мягкая, нежная	Характеристики еды	еда
166	Piping hot		с пылу с жару, т.е. очень свежая (что-то горячее)	Характеристики еды	еда
167	Aromatic		ароматный	Характеристики еды	еда
168	Appetizing		аппетитный	Характеристики еды	еда
169	Nutritious		сытный	Характеристики еды	еда
170	Palatable		вкусный, приятный, съедобный	Характеристики еды	еда
171	Vinegary		с привкусом уксуса, уксусный	Характеристики еды	еда
172	Gooey		липкий и сладкий, клейкий	Характеристики еды	еда
173	Crumbly		рассыпчатый, крошащийся	Характеристики еды	еда
174	Crunchy / crispy		хрустящий, с хрустящей корочкой	Характеристики еды	еда
175	Spongy		тает во рту, невесомый, легкий «как губка», пористый	Характеристики еды	еда
176	Greasy / oily		жирный	Характеристики еды	еда
177	Rare		Стейк с кровью	Характеристики еды	еда
178	Medium rare (med-rare)		Стейк слабой прожарки	Характеристики еды	еда
179	Medium		Стейк средней прожарки	Характеристики еды	еда
180	Medium well		Стейк почти прожаренный	Характеристики еды	еда
181	Well done		Стейк прожаренный	Характеристики еды	еда
182	Be out		отсутствовать	Фразовые глаголы	устойчивые сочетания
183	Be off		уезжать, уходить, быть неработающим, свободным	Фразовые глаголы	устойчивые сочетания
184	Be over		завершиться, окончиться	Фразовые глаголы	устойчивые сочетания
185	Beupto		намереваться, собираться что-то сделать, зависеть от	Фразовые глаголы	устойчивые сочетания
186	Break in		вламываться, врываться, вмешиваться (в разговор)	Фразовые глаголы	устойчивые сочетания
187	Break down		сломаться, сломать, выйти из строя	Фразовые глаголы	устойчивые сочетания
188	Calm down		успокаиваться, успокаивать	Фразовые глаголы	устойчивые сочетания
189	Call back		перезвонить, позвать назад	Фразовые глаголы	устойчивые сочетания
190	Carry on		продолжать заниматься чем-то	Фразовые глаголы	устойчивые сочетания
191	Check in		регистрироваться, зарегистрировать	Фразовые глаголы	устойчивые сочетания
192	Check out		выписаться из, выяснять, проверять	Фразовые глаголы	устойчивые сочетания
193	Clean up		убирать, приводить в порядок	Фразовые глаголы	устойчивые сочетания
194	Come along		приходить, появляться, идти вместе, сопровождать	Фразовые глаголы	устойчивые сочетания
195	Come across		случайно встретить, натолкнуться на	Фразовые глаголы	устойчивые сочетания
196	Come from		происходить от / из, взяться	Фразовые глаголы	устойчивые сочетания
197	Come on		приходить, проходить, давай! / брось! /пошли! /кончай!	Фразовые глаголы	устойчивые сочетания
198	Come in		входить, прибывать, приходить	Фразовые глаголы	устойчивые сочетания
199	Come over		заезжать, подходить, приходить, охватывать	Фразовые глаголы	устойчивые сочетания
200	Cut off		отрезать, прерывать	Фразовые глаголы	устойчивые сочетания
201	Count on		рассчитывать на, возлагать надежду	Фразовые глаголы	устойчивые сочетания
202	End up		закончить, попасть, оказаться	Фразовые глаголы	устойчивые сочетания
203	Fall down		упасть, падать, рухнуть	Фразовые глаголы	устойчивые сочетания
204	Figure out		выяснить, сообразить, понять, разобраться	Фразовые глаголы	устойчивые сочетания
205	Find out		найти, обнаружить, выяснить, разузнать	Фразовые глаголы	устойчивые сочетания
206	Get away		уходить, удрать, ускользнуть	Фразовые глаголы	устойчивые сочетания
207	Get down		опустить, опуститься	Фразовые глаголы	устойчивые сочетания
208	Get in		забраться в, проникнуть, войти	Фразовые глаголы	устойчивые сочетания
209	Get off		покидать, выходить, уносить, удалять, уходи!	Фразовые глаголы	устойчивые сочетания
210	Get on		садиться на / в, продолжить, приступить к	Фразовые глаголы	устойчивые сочетания
211	Get out		выходить, вытаскивать, уходить	Фразовые глаголы	устойчивые сочетания
212	Get up		вставать, просыпаться	Фразовые глаголы	устойчивые сочетания
213	Go away		уезжать, уходить	Фразовые глаголы	устойчивые сочетания
214	Go off		убегать, улетать, уходить, уезжать	Фразовые глаголы	устойчивые сочетания
215	Go in		входить	Фразовые глаголы	устойчивые сочетания
216	Go on		продолжать, происходить, продолжайте!	Фразовые глаголы	устойчивые сочетания
217	Go through		пройти через, тщательно изучать, повторять	Фразовые глаголы	устойчивые сочетания
218	Grow up		вырастать, становиться взрослым	Фразовые глаголы	устойчивые сочетания
219	Hang on		цепляться, хвататься, полагаться, рассчитывать на кого-то	Фразовые глаголы	устойчивые сочетания
220	Help out		помогать, выручать	Фразовые глаголы	устойчивые сочетания
221	Hold on		продолжать дело, несмотря на трудности, подождите! Оставайтесь на линии!	Фразовые глаголы	устойчивые сочетания
222	Keep up		продолжать, не отставать, поддерживать	Фразовые глаголы	устойчивые сочетания
223	Keep on		продолжать	Фразовые глаголы	устойчивые сочетания
224	Knock down		сносить, разрушать, сбить с ног	Фразовые глаголы	устойчивые сочетания
225	Let in		впускать	Фразовые глаголы	устойчивые сочетания
226	Lie down		прилечь, лечь	Фразовые глаголы	устойчивые сочетания
227	Line up		становиться в линию, ряд, очередь	Фразовые глаголы	устойчивые сочетания
228	Look back		оборачиваться, оглядываться	Фразовые глаголы	устойчивые сочетания
229	Look forward to		ожидать чего-то с нетерпением	Фразовые глаголы	устойчивые сочетания
230	Look for		искать, присматривать	Фразовые глаголы	устойчивые сочетания
231	Move on		продолжать движение, идти дальше	Фразовые глаголы	устойчивые сочетания
232	Move in		входить, въезжать (поселяться)	Фразовые глаголы	устойчивые сочетания
233	Pass out		терять сознание, раздавать	Фразовые глаголы	устойчивые сочетания
234	Pick up		подобрать, подхватить, взять, поднять (любой предмет, сигнал, человека, запах и т.д.)	Фразовые глаголы	устойчивые сочетания
235	Pull on		тянуть (на себя), натягивать (надевать)	Фразовые глаголы	устойчивые сочетания
236	Put in		вставлять	Фразовые глаголы	устойчивые сочетания
237	Put on		одевать, надевать, включать	Фразовые глаголы	устойчивые сочетания
238	Put down		опустить, положить	Фразовые глаголы	устойчивые сочетания
239	Put up		строить, поднимать, финансировать	Фразовые глаголы	устойчивые сочетания
240	Run out		истощаться, кончаться, выбегать	Фразовые глаголы	устойчивые сочетания
241	Run into		столкнуться, встретить, наскочить	Фразовые глаголы	устойчивые сочетания
242	Run over		переехать, задавить, столкнуться	Фразовые глаголы	устойчивые сочетания
243	Run away		удирать, убегать	Фразовые глаголы	устойчивые сочетания
244	Set up		создавать, организовывать, устраивать	Фразовые глаголы	устойчивые сочетания
245	Show up		приходить, появляться	Фразовые глаголы	устойчивые сочетания
246	Settle down		поселяться, успокаиваться, усаживаться	Фразовые глаголы	устойчивые сочетания
247	Sit down		садиться, успокаиваться, поселяться	Фразовые глаголы	устойчивые сочетания
248	Shut up		заткнуть, заставить замолчать, заткнись!	Фразовые глаголы	устойчивые сочетания
249	Shut down		выключить, отключить, закрыть	Фразовые глаголы	устойчивые сочетания
250	Stand by		приготовиться, поддерживать, ждать	Фразовые глаголы	устойчивые сочетания
251	Switch on		включать	Фразовые глаголы	устойчивые сочетания
252	Switch off		выключать	Фразовые глаголы	устойчивые сочетания
253	Take away		забирать, убирать, отнимать	Фразовые глаголы	устойчивые сочетания
254	Take off		уходить, уезжать, снимать с себя	Фразовые глаголы	устойчивые сочетания
255	Take in		приютить, впустить, воспринимать, вбирать	Фразовые глаголы	устойчивые сочетания
256	Throw up		тошнить, рвать, поднять, выкинуть, вскинуть	Фразовые глаголы	устойчивые сочетания
257	Turn around		оборачиваться	Фразовые глаголы	устойчивые сочетания
258	Turn into		превращаться в кого-то или во что-то	Фразовые глаголы	устойчивые сочетания
259	Turn on		включать	Фразовые глаголы	устойчивые сочетания
260	Turn off		выключать, поворачивать, сворачивать	Фразовые глаголы	устойчивые сочетания
261	Turn out		выясниться, оказаться, получиться	Фразовые глаголы	устойчивые сочетания
262	Wake up		просыпаться, будить	Фразовые глаголы	устойчивые сочетания
263	Walk in		входить	Фразовые глаголы	устойчивые сочетания
264	Walk out		спланировать, разобраться, понять	Фразовые глаголы	устойчивые сочетания
265	Walk away		уходить	Фразовые глаголы	устойчивые сочетания
266	Walk off		уходить	Фразовые глаголы	устойчивые сочетания
267	Walk up		подходить	Фразовые глаголы	устойчивые сочетания
268	Work out		тренироваться, понять, разобраться, спланировать	Фразовые глаголы	устойчивые сочетания
269	Write down		записывать	Фразовые глаголы	устойчивые сочетания
270	Work up		создать, выработать, расстраиваться	Фразовые глаголы	устойчивые сочетания
271	Watch out		быть начеку, остерегаться	Фразовые глаголы	устойчивые сочетания
272	Office chair		офисный стул / кресло	офисная мебель	мебель
273	Desk		письменный стол	офисная мебель	мебель
274	Filing cabinet		шкаф	офисная мебель	мебель
275	Bookshelf		книжная полка	офисная мебель	мебель
276	Table lamp		настольная лампа	офисная мебель	мебель
277	Coat wardrobe		шкаф для верхней одежды	офисная мебель	мебель
278	Cradle		колыбель	виды кроватей	мебель
279	Cot / crib		детская кроватка	виды кроватей	мебель
280	Travel cot		«дорожная» детская кроватка	виды кроватей	мебель
281	Divan		диван	виды кроватей	мебель
282	Four-posterbed		кровать с балдахином	виды кроватей	мебель
283	Futon		футон (японский матрас для сна)	виды кроватей	мебель
284	Single bed		односпальная кровать	виды кроватей	мебель
285	Bunk beds		двухъярусные кровати	виды кроватей	мебель
286	Sofa bed		диван-кровать	виды кроватей	мебель
287	Camp bed (cot) / sleeping bag		легкая походная кровать / спальный мешок	виды кроватей	мебель
288	Airbed/ air mattress		надувная кровать / матрас	виды кроватей	мебель
289	Hammock		гамак	виды кроватей	мебель
290	Chair		стул	Виды стульев	мебель
291	Armchair		кресло	Виды стульев	мебель
292	Rocking chair		кресло-качалка	Виды стульев	мебель
293	Stool		табурет	Виды стульев	мебель
294	Car seat		автомобильное кресло	Виды стульев	мебель
295	Wheelchair		инвалидное кресло	Виды стульев	мебель
296	Swivel chair		вращающийся стул	Виды стульев	мебель
297	Deckchair		шезлонг	Виды стульев	мебель
298	Chaise longue		лежак	Виды стульев	мебель
299	Lounger/ recliner		кресло для отдыха	Виды стульев	мебель
300	High chair		детский стул	Виды стульев	мебель
301	Director’s chair		режиссерское кресло	Виды стульев	мебель
302	Bench		скамейка	Виды стульев	мебель
303	Sofa		диван, софа	Виды стульев	мебель
304	Wash tube		ванна	Ванная комната	
305	Wash basin		умывальник	Ванная комната	
306	WC (water closet)		туалет	Ванная комната	
307	Toilet paper		туалетная бумага	Ванная комната	
308	Toilet paper holder		держатель для туалетной бумаги	Ванная комната	
309	Liquid soap		жидкое мыло	Ванная комната	
310	Soap		мыло	Ванная комната	
311	Soap holder		мыльница	Ванная комната	
312	Towel		полотенце	Ванная комната	
313	Shower stall		душевая кабина	Ванная комната	
314	Faucet		кран	Ванная комната	
315	Dustpan		совок для мусора	кухня	
316	broom		веник, метла	кухня	
317	Cleaning tools		моющие средства	Ванная комната	
