kaz	rus	category1
жүдә	очень сильно, совсем	top-200
жылдам	быстро	top-200
жым-жырт	тихо, беззвучно	top-100
зорға	с трудом, еле-еле	top-100
кезек-кезек	поочередно	top-200
кезінде	в своё время	top-200
кейде	иногда	top-100
кейін	потом	top-100
кенет	внезапно	top-200
кеңінен	вширь, широко	top-200
кеш	поздно	top-100
кеше	вчера	top-100
көбінесе / көбінше	чаще всего, зачастую	top-100
көзінше	на глазах, в присутствии	top-200
көптеген	много, во множестве	top-200
көптен	давно	top-200
күнде	каждый день	top-100
күндіз	днём	top-100
күндіз-түні	днем и ночью, беспрерывно	top-200
қазақша	по-казахски	top-100
қазір	сейчас, теперь	top-100
қазірде	сейчас, в настоящий момент	top-200
қайта	опять, снова, повторно	top-100
қайта-қайта	снова и снова	top-100
қайтадан	снова, повторно	top-100
қақ	прямо, ровно	top-200
қарсы	напротив, вопреки	top-100
қатар	рядом, наряду	top-100
қауырт	спешно	top-200
қолма-қол	собственноручно	top-200
құр	зря	top-100
қысқаша	кратко	top-200
қысы-жазы	зимой и летом	top-200
лезде	мгновенно, вмиг, сразу	top-200
мәңгі	вечно	top-200
мейлінше	слишком, чересчур	top-100
меніңше	по-моему	top-200
мұнда	сюда, здесь	top-100
мұнша	столько	top-200
мүлде	совсем, вообще	top-100
мүлдем	совершенно	top-200
нағыз	действительно, подлинно	top-100
нақ	точно, как раз	top-200
неғұрлым	насколько	top-200
нық	крепко, прочно	top-100
оқта-текте	от случая к случаю	top-200
олай	так	top-100
онда	там	top-100
онсыз	без этого	top-200
онша	не очень-то	top-200
оншалық	не так, не столько	top-200
орасан	очень	top-200
орысша	по-русски	top-100
осылай	так, таким образом	top-100
осылайша	так, таким образом	top-100
осында	здесь	top-200
осынша	столько	top-200
осыншалық	столько	top-200
өзара	между собой, взаимно	top-100
өзді-өзі	друг с другом	top-200
өздігінен	самостоятельно	top-200
өзінше	по-своему	top-100
өңкей	сплошь	top-200
өңшең	сплошь	top-100
өте	очень	top-100
сәл	немного, слегка	top-100
солай	так	top-100
солайша	таким образом	top-200
сонағұрлым	более	top-200
сонда	тогда	top-100
сонша	столько, вот столько	top-100
соншалық	столько, вот столько	top-100
сосын	потом, затем	top-200
талай	значительно, немало	top-100
талай-талай	неоднократно, много раз	top-200
таңертең	утром	top-100
тап	точь-в-точь, в самый раз	top-100
тегінде	точь-в-точь, в самый раз	top-100
тез	быстро, скоро	top-100
тезірек	быстрее, скорее	top-200
тек	зря, напрасно, лишь	top-100
текке	зря, понапрасну	top-200
төмен	вниз	top-100
тым	слишком	top-100
тікелей	прямо, непосредственно	top-200
тіпті	даже, очень	top-100
тірідей	живьем, заживо	top-200
уақытша	временно	top-200
ұдайы	подряд, беспрерывно	top-100
үздіксіз	непрерывно, непрестанно	top-200
үнемі	постоянно	top-100
үсті-үстіне	одно за другим, беспрестанно	top-200
шалқасынан	навзничь	top-200
шапшаң	быстро	top-100
шұғыл	быстро, поспешно	top-100
ылғи	постоянно	top-100
ілгері	вперед, впереди, раньше	top-100
іштей	внутренне	top-100
