no	eng	trans	rus	category1	category2
95	wife	[ waɪf ]	жена	Существительные	
96	woman	[ ˈwʊmən ]	женщина	Существительные	
97	day	[ deɪ ]	день	Существительные	
98	evening	[ ˈiːvnɪŋ ]	вечер	Существительные	
99	hour	[ aʊə r]	час	Существительные	
100	life	[ laɪf ]	жизнь	Существительные	
101	minute	[ ˈmɪnɪt ]	минута	Существительные	
102	month	[mʌnθ]	месяц	Существительные	
103	morning	[ ˈmɔːnɪŋ ]	утро	Существительные	
104	night	[ naɪt ]	ночь	Существительные	
105	time	[ taɪm ]	время	Существительные	
106	week	[ wiːk ]	неделя	Существительные	
107	year	[ jɪə r]	год	Существительные	
108	air	[ eə r]	воздух	Существительные	
109	animal	[ ˈænɪməl ]	животное	Существительные	
110	fire	[ faɪə r]	огонь	Существительные	
111	food	[ fuːd ]	еда	Существительные	
112	sun	[ sʌn ]	солнце	Существительные	
113	tree	[ triː ]	дерево	Существительные	
114	water	[ ˈwɔːtə r]	вода	Существительные	
115	world	[ wɜːld ]	мир	Существительные	
116	art	[ ɑːt ]	искусство	Существительные	
117	case	[ keɪs ]	ситуация	Существительные	
118	city	[ ˈsɪti ]	город	Существительные	
119	country	[ ˈkʌntri ]	страна	Существительные	
120	issue	[ˈɪʃuː]	проблема	Существительные	
121	game	[ ɡeɪm ]	игра	Существительные	
122	group	[ ɡruːp ]	группа	Существительные	
123	health	[ helθ ]	здоровье	Существительные	
124	history	[ ˈhɪst ə ri ]	история	Существительные	
125	house	[haʊs]	дом	Существительные	
126	line	[ laɪn ]	линия	Существительные	
127	place	[ pleɪs ]	место	Существительные	
128	room	[ ruːm ]	комната	Существительные	
129	school	[ skuːl ]	школа	Существительные	
130	shop	[ ʃɒp ]	магазин	Существительные	
131	street	[ striːt ]	улица	Существительные	
132	work	[ wɜːk ]	работа	Существительные	
133	book	[ bʊk ]	книга	Существительные	
134	car	[ kɑː r]	машина	Существительные	
135	chair	[ tʃeə r]	стул	Существительные	
136	door	[ dɔː r]	дверь	Существительные	
137	money	[ ˈmʌni ]	деньги	Существительные	
138	paper	[ ˈpeɪpə r]	бумага	Существительные	
139	pen	[ pen ]	ручка	Существительные	
140	table	[ ˈteɪb ə l ]	стол	Существительные	
141	thing	[ θɪŋ ]	вещь	Существительные	
142	answer	[ ˈɑːnsə r]	ответ	Существительные	
143	end	[ end ]	конец	Существительные	
144	question	[ ˈkwestʃən ]	вопрос	Существительные	
145	number	[ ˈnʌmbə r]	номер	Существительные	
146	price	[ praɪs ]	цена	Существительные	
147	way	[ weɪ ]	путь, способ	Существительные	
148	answer	[ ˈɑːnsə r]	ответить	Глаголы	
149	ask	[ ɑːsk ]	спрашивать	Глаголы	
150	be	[ biː ]	быть	Глаголы	
151	begin	[ bɪˈɡɪn ]	начинать	Глаголы	
152	believe	[ bɪˈliːv ]	верить	Глаголы	
153	bring	[ brɪŋ ]	приносить	Глаголы	
154	can	[ kæn ]	мочь	Глаголы	
155	change	[ tʃeɪndʒ ]	изменить	Глаголы	
156	close	[ kləʊz ]	закрыть	Глаголы	
157	come	[ kʌm ]	приходить	Глаголы	
158	do	[ du ]	делать	Глаголы	
159	feel	[ fiːl ]	чувствовать	Глаголы	
160	find	[ faɪnd ]	находить	Глаголы	
161	get	[ ɡet ]	получать	Глаголы	
162	give	[ ɡɪv ]	давать	Глаголы	
163	go	[ ɡəʊ ]	идти	Глаголы	
164	have	[ hæv ]	иметь	Глаголы	
165	hear	[ hɪə r]	слышать	Глаголы	
166	help	[ help ]	помогать	Глаголы	
167	know	[ nəʊ ]	знать	Глаголы	
168	learn	[ lɜːn ]	учить	Глаголы	
169	leave	[ liːv ]	покидать	Глаголы	
170	let	[ let ]	позволять	Глаголы	
171	listen	[ ˈlɪs ə n ]	слушать	Глаголы	
172	live	[ lɪv ]	жить	Глаголы	
173	lose	[ luːz ]	терять	Глаголы	
174	love	[ lʌv ]	любить	Глаголы	
175	make	[ meɪk ]	делать	Глаголы	
176	meet	[ miːt ]	встречать	Глаголы	
177	open	[ ˈəʊp ə n ]	открывать	Глаголы	
178	play	[ pleɪ ]	играть	Глаголы	
179	read	[ riːd ]	читать	Глаголы	
180	remember	[ rɪˈmembə r]	помнить	Глаголы	
181	run	[ rʌn ]	бежать	Глаголы	
182	say	[ seɪ ]	сказать	Глаголы	
183	see	[ siː ]	видеть	Глаголы	
184	sit	[ sɪt ]	сидеть	Глаголы	
185	stand	[ stænd]	стоять	Глаголы	
186	stop	[ stɒp ]	останавливать	Глаголы	
187	study	[ ˈstʌdi ]	учиться	Глаголы	
188	take	[ teɪk ]	брать	Глаголы	
189	tell	[ tel ]	говорить	Глаголы	
190	think	[ θɪŋk ]	думать	Глаголы	
191	turn	[tɜːn]	поворачивать	Глаголы	
192	understand	[ ˌʌndəˈstænd ]	понимать	Глаголы	
193	use	[ juːz ]	использовать	Глаголы	
194	walk	[ wɔːk ]	гулять	Глаголы	
195	want	[ wɒnt ]	хотеть	Глаголы	
196	work	[ wɜːk ]	работать	Глаголы	
197	write	[ raɪt ]	писать	Глаголы	
198	bad	[ bæd ]	плохой	Прилагательные	
199	best	[ best ]	лучший	Прилагательные	
200	big	[ bɪɡ ]	большой	Прилагательные	
201	clear	[ klɪə r]	понятный, прозрачный	Прилагательные	
202	cold	[ kəʊld ]	холодный	Прилагательные	
203	current	[ ˈkʌr ə nt ]	текущий	Прилагательные	
204	easy	[ ˈiːzi ]	легкий	Прилагательные	
205	free	[ friː ]	свободный, бесплатный	Прилагательные	
206	fine	[ faɪn ]	хороший	Прилагательные	
207	foreign	[ ˈfɒrən ]	иностранный	Прилагательные	
208	full	[ fʊl ]	полный	Прилагательные	
209	good	[ ɡʊd ]	хороший	Прилагательные	
210	happy	[ ˈhæpi ]	счастливый	Прилагательные	
211	high	[ haɪ ]	высокий	Прилагательные	
212	hot	[ hɒt ]	горячий	Прилагательные	
213	late	[ leɪt ]	поздний	Прилагательные	
214	left	[ left ]	левый	Прилагательные	
215	little	[ ˈlɪt ə l ]	маленький	Прилагательные	
216	long	[ lɒŋ ]	длинный	Прилагательные	
217	low	[ ləʊ ]	низкий	Прилагательные	
218	main	[ meɪn ]	главный	Прилагательные	
219	natural	[ ˈnætʃ ə r ə l ]	естественный	Прилагательные	
220	new	[ njuː ]	новый	Прилагательные	
221	nice	[ naɪs ]	милый	Прилагательные	
222	old	[ əʊld ]	старый	Прилагательные	
223	only	[ ˈəʊnli ]	единственный	Прилагательные	
224	open	[ ˈəʊp ə n ]	открытый	Прилагательные	
225	past	[ pɑːst ]	прошлый	Прилагательные	
226	poor	[ pɔː r]	бедный	Прилагательные	
227	popular	[ ˈpɒpjələ r]	популярный	Прилагательные	
228	ready	[ˈredi]	готовый	Прилагательные	
229	real	[ rɪəl ]	настоящий	Прилагательные	
230	right	[ raɪt ]	правый, верный	Прилагательные	
231	similar	[ ˈsɪmɪlə r]	похожий	Прилагательные	
232	single	[ ˈsɪŋɡ ə l ]	одинокий	Прилагательные	
233	special	[ ˈspeʃ ə l ]	особенный	Прилагательные	
234	small	[ smɔːl ]	маленький	Прилагательные	
235	strong	[ strɒŋ ]	сильный	Прилагательные	
236	wrong	[ rɒŋ ]	неверный	Прилагательные	
237	young	[ jʌŋ ]	молодой	Прилагательные	
